id,difficulty
0,C2
1,B1
2,B1
3,A1
4,C1
5,C1
6,A2
7,A2
8,C1
9,A1
10,A1
11,A2
12,B2
13,C1
14,A1
15,A2
16,B2
17,A2
18,A2
19,A1
20,C1
21,C1
22,C1
23,C1
24,B1
25,C2
26,A1
27,A1
28,C2
29,B1
30,A2
31,A2
32,A1
33,A2
34,A2
35,A2
36,C1
37,B1
38,A1
39,A1
40,B1
41,B2
42,C1
43,C1
44,C1
45,C1
46,B2
47,C1
48,A1
49,A1
50,C1
51,A1
52,B2
53,A1
54,A2
55,C1
56,C1
57,B2
58,C1
59,B1
60,B2
61,A2
62,C1
63,C1
64,C1
65,B2
66,B2
67,A2
68,B2
69,B2
70,A1
71,B1
72,B2
73,B1
74,C1
75,A2
76,A1
77,C1
78,B1
79,B2
80,A2
81,A1
82,B2
83,A2
84,A1
85,B2
86,B1
87,C2
88,C1
89,B1
90,C1
91,A2
92,B2
93,C1
94,A2
95,A2
96,A1
97,A1
98,B1
99,C1
100,C1
101,C1
102,A1
103,A2
104,C2
105,C1
106,A1
107,A1
108,A2
109,B2
110,B2
111,B1
112,C1
113,B2
114,C2
115,B2
116,C1
117,A2
118,A2
119,C1
120,A2
121,B1
122,B2
123,C1
124,A2
125,C1
126,C1
127,B2
128,C1
129,C1
130,A1
131,A2
132,B2
133,C1
134,C2
135,C1
136,A2
137,C1
138,A2
139,A2
140,A1
141,C1
142,C1
143,C2
144,C1
145,C1
146,A1
147,C1
148,B2
149,A2
150,B2
151,B1
152,A1
153,A2
154,A2
155,C2
156,C1
157,A1
158,A1
159,A1
160,A2
161,A1
162,B1
163,B2
164,C1
165,C1
166,A1
167,B2
168,B2
169,B2
170,B2
171,B2
172,A1
173,A2
174,A2
175,C1
176,C1
177,B2
178,B1
179,C1
180,A2
181,B2
182,B2
183,B1
184,C1
185,B1
186,A2
187,B2
188,C1
189,C2
190,A1
191,B2
192,B2
193,B1
194,B2
195,A2
196,C1
197,B1
198,C1
199,B1
200,C1
201,C1
202,A1
203,A1
204,C2
205,A1
206,A2
207,B2
208,A1
209,A1
210,A2
211,A1
212,A1
213,C1
214,B1
215,B2
216,B2
217,C1
218,B1
219,B1
220,B2
221,B2
222,A1
223,B2
224,A1
225,C1
226,A1
227,A2
228,A2
229,A1
230,B2
231,B2
232,C2
233,A2
234,B1
235,B2
236,C1
237,B1
238,C1
239,B2
240,B2
241,A1
242,A1
243,A2
244,B1
245,A1
246,B2
247,B2
248,A2
249,B1
250,B1
251,B1
252,A1
253,C1
254,B2
255,C1
256,B1
257,A1
258,A1
259,C1
260,A1
261,B1
262,A1
263,B1
264,B2
265,C1
266,B1
267,B1
268,C1
269,B2
270,A2
271,B2
272,B1
273,C1
274,A1
275,C1
276,C1
277,C2
278,C1
279,B2
280,A1
281,C1
